audspec_lengthL1norm_sma_amean,pcm_fftMag_spectralFlux_sma_amean,pcm_fftMag_spectralVariance_sma_amean,pcm_fftMag_spectralKurtosis_sma_stddev,pcm_fftMag_mfcc_sma[1]_amean,voicingFinalUnclipped_sma_de_stddev,audspec_lengthL1norm_sma_de_stddev,pcm_zcr_sma_de_stddev,pcm_fftMag_spectralEntropy_sma_de_stddev,pcm_fftMag_psySharpness_sma_de_stddev,v,a,song_id
-0.833641015,-0.937592448,-0.189761067,0.208585413,0.324244372,0.000906626,0.34772679,0.126627449,0.074825151,0.112746853,0.043041343,-0.171350738,10
2.372015557,2.597768788,0.483965693,-0.415017567,-0.420426759,0.001564143,0.87964247,0.36884435,0.341969342,0.310371363,0.327503128,0.481243943,1000
0.114971123,-0.361867152,-0.010000165,-0.449698417,-0.177707396,-0.302208426,-0.45611323,0.065932431,-0.229867589,-0.06681603,-0.001066667,0.20565,1001
-1.206993033,-0.746069825,-0.699131947,1.319809093,0.53443135,-0.398581541,-0.567271189,-0.454576851,-0.424850545,-0.424570736,-0.047283333,-0.019483333,1002
-0.821508988,-0.962111027,-0.277820915,0.733941962,-0.122218306,0.293971071,0.870650971,0.653821579,0.962827316,1.19360302,0.175266667,0.02712963,1003
0.427179108,-0.182623062,-0.427508692,-0.448293665,-0.280689917,-0.442165484,-0.568198524,-0.613974207,-0.465694022,-0.627775767,-0.141216667,0.17975,1004
0.245275257,-0.054872459,-0.29412054,-0.451287065,-0.686972167,-0.2243397,-0.602587088,-0.465549471,0.157234167,-0.312169489,0.32995,0.142083333,1005
-0.804514125,-0.984566566,-0.218404071,-0.115785206,-0.382606006,0.246160237,-0.094970918,0.15822349,0.385679443,0.044876586,0.041483333,0.167383333,1006
-0.363870695,-0.441499143,0.193466905,-0.25463857,-0.6662168,0.922650663,1.260061685,1.145609971,0.853562193,1.060903536,0.264116667,0.288483333,1007
0.097046947,-0.209663208,-0.244582027,-0.439252655,-0.29432314,-0.134072094,-0.042583804,0.070015146,0.134957501,0.103765399,0.231283333,0.139016667,1008
-0.596105006,-0.945614249,-0.682590082,-0.417632046,0.810933798,-0.171550528,-0.24994647,-0.59825151,-0.192000789,-0.502888487,-0.017916667,0.13465,1009
-1.600259906,-1.313177578,-0.753703503,0.430144683,1.212694926,-0.642426188,-1.061533899,-0.75898248,-0.621050382,-0.71712141,-0.330005963,-0.195582991,101
-0.279818294,-0.369250592,0.467581376,-0.409696494,-0.787574336,0.383299368,-0.025921285,0.191013119,0.194647622,0.005009016,0.4129,0.267866667,1010
-1.206107881,-1.163405881,-0.799335173,1.551207544,0.801107363,-0.106268544,-0.346981329,-0.858448485,-0.063524032,-0.675009033,0.067216667,-0.277116667,1011
-0.863355909,-0.46814642,-0.768297651,1.484095757,1.111288953,-0.396139338,-0.151598606,-0.736545157,-0.192899054,-0.62842845,0.016866667,0.003,1012
-0.75735251,-0.685545231,-0.774769658,0.112810369,1.658003382,-0.573105175,-0.942191685,-0.874013854,-0.535027143,-0.716626316,-0.239083333,0.000466667,1013
-0.296984817,-0.335728846,-0.499544935,-0.328882809,0.32877042,-0.339405067,-0.512689058,-0.569559225,-0.423800161,-0.516154042,0.051066667,0.242933333,1014
0.095163859,-0.58767935,0.273960514,-0.460747272,-0.911124206,1.003055523,-0.567977204,0.233782374,-0.142278227,-0.088119076,0.436816667,0.555966667,1015
-1.544170605,-1.343236147,-0.345588637,2.079867086,0.457991003,-0.666754294,-1.111222046,-0.647802636,-0.488472853,-0.642058067,-0.247033333,-0.25725,1016
-1.184262527,-0.9636368,-0.631357925,0.066683362,0.620929802,-0.110495435,-0.288369019,-0.296532982,-0.027037828,-0.337261071,0.13085,0.017533333,1017
-0.955114223,-1.020113784,-0.568899377,-0.171789854,0.208687051,-0.378292464,-0.758662536,-0.674841376,-0.360026174,-0.691965566,-0.054066667,-0.262783333,1018
-1.024838834,-0.731576782,-0.745797396,0.05485589,0.944048484,-0.559015539,-0.755650837,-0.780886639,-0.649413406,-0.736048757,-0.115916667,-0.139483333,1019
1.116852392,-0.327364998,-0.432319171,0.09243474,0.278765273,-0.29131244,1.701934784,-0.369229257,-0.23914229,-0.363778323,0.127419752,0.340815918,102
-0.576128374,-0.827546241,-0.465082684,-0.244745367,-0.023649018,-0.469875103,-0.503951807,-0.506564248,-0.427420037,-0.52253485,-0.133216667,-0.0577,1020
-0.042823759,-0.12810356,-0.399455953,-0.411402148,-0.081292226,-0.535720672,-0.647404102,-0.359524049,-0.058930733,-0.510238654,0.324383333,0.301433333,1021
-0.959685861,-0.87153721,-0.571650318,-0.228087853,0.770987958,-0.576298826,-0.580989378,-0.353555723,-0.470617768,-0.509406237,-0.221783333,-0.08625,1022
-0.652330926,-0.746661769,-0.830896612,-0.339272115,2.025892104,-0.621291733,-0.877548623,-0.926616975,-0.483413613,-0.72748752,-0.3012,-0.2604,1023
-1.073310615,-0.923311967,-0.597215569,-0.457399499,0.886940596,0.388277706,-1.097332806,0.669480746,-0.290685837,-0.53056447,-0.28045,-0.148316667,1024
0.48105836,-0.32646033,0.049343485,-0.457188722,-0.948626447,0.476197039,-0.381037348,-0.339306603,-0.118541219,-0.325816864,0.252,0.532616667,1025
-1.231705722,-1.182017504,-0.777410159,3.060509509,0.653091486,-0.883546838,-0.951914008,-0.737252525,-0.613294138,-0.633972498,-0.212883333,-0.400716667,1026
0.192756561,-0.328874925,-0.087787085,-0.456926137,-0.518772265,-0.322309641,-0.740683848,-0.173240003,-0.145935893,-0.237468519,0.080833333,0.1244,1027
0.595890362,-0.175917119,0.010363028,-0.461484307,-0.504607271,-0.163472469,-0.623109206,-0.184981763,-0.491047154,-0.292417744,0.126416667,0.306083333,1028
-0.272657718,-0.364490435,-0.081316704,-0.206884729,-0.835377778,0.118883851,-0.168491629,0.53843714,0.462277102,0.550299802,-0.039966667,0.054116667,1029
