,feature,rank
226,pcm_fftMag_spectralSlope_sma_de_stddev,1
146,pcm_RMSenergy_sma_de_stddev,2
142,audspec_lengthL1norm_sma_de_stddev,3
12,audspec_lengthL1norm_sma_stddev,4
188,audSpec_Rfilt_sma_de[19]_stddev,5
66,audSpec_Rfilt_sma[23]_stddev,6
67,audSpec_Rfilt_sma[23]_amean,7
59,audSpec_Rfilt_sma[19]_amean,8
56,audSpec_Rfilt_sma[18]_stddev,9
186,audSpec_Rfilt_sma_de[18]_stddev,10
52,audSpec_Rfilt_sma[16]_stddev,11
182,audSpec_Rfilt_sma_de[16]_stddev,12
51,audSpec_Rfilt_sma[15]_amean,13
50,audSpec_Rfilt_sma[15]_stddev,14
13,audspec_lengthL1norm_sma_amean,15
82,pcm_fftMag_spectralRollOff90.0_sma_stddev,16
212,pcm_fftMag_spectralRollOff90.0_sma_de_stddev,17
80,pcm_fftMag_spectralRollOff75.0_sma_stddev,18
228,pcm_fftMag_psySharpness_sma_de_stddev,19
41,audSpec_Rfilt_sma[10]_amean,20
170,audSpec_Rfilt_sma_de[10]_stddev,21
71,audSpec_Rfilt_sma[25]_amean,22
69,audSpec_Rfilt_sma[24]_amean,23
19,pcm_zcr_sma_amean,24
99,pcm_fftMag_psySharpness_sma_amean,25
85,pcm_fftMag_spectralFlux_sma_amean,26
96,pcm_fftMag_spectralSlope_sma_stddev,27
16,pcm_RMSenergy_sma_stddev,28
220,pcm_fftMag_spectralVariance_sma_de_stddev,29
230,pcm_fftMag_spectralHarmonicity_sma_de_stddev,30
36,audSpec_Rfilt_sma[8]_stddev,31
166,audSpec_Rfilt_sma_de[8]_stddev,32
144,audspecRasta_lengthL1norm_sma_de_stddev,33
31,audSpec_Rfilt_sma[5]_amean,34
61,audSpec_Rfilt_sma[20]_amean,35
89,pcm_fftMag_spectralEntropy_sma_amean,36
77,pcm_fftMag_spectralRollOff25.0_sma_amean,37
91,pcm_fftMag_spectralVariance_sma_amean,38
128,pcm_fftMag_mfcc_sma[14]_stddev,39
214,pcm_fftMag_spectralFlux_sma_de_stddev,40
200,audSpec_Rfilt_sma_de[25]_stddev,41
198,audSpec_Rfilt_sma_de[24]_stddev,42
156,audSpec_Rfilt_sma_de[3]_stddev,43
27,audSpec_Rfilt_sma[3]_amean,44
30,audSpec_Rfilt_sma[5]_stddev,45
238,pcm_fftMag_mfcc_sma_de[4]_stddev,46
168,audSpec_Rfilt_sma_de[9]_stddev,47
184,audSpec_Rfilt_sma_de[17]_stddev,48
174,audSpec_Rfilt_sma_de[12]_stddev,49
28,audSpec_Rfilt_sma[4]_stddev,50
87,pcm_fftMag_spectralCentroid_sma_amean,51
70,audSpec_Rfilt_sma[25]_stddev,52
194,audSpec_Rfilt_sma_de[22]_stddev,53
150,audSpec_Rfilt_sma_de[0]_stddev,54
20,audSpec_Rfilt_sma[0]_stddev,55
14,audspecRasta_lengthL1norm_sma_stddev,56
42,audSpec_Rfilt_sma[11]_stddev,57
68,audSpec_Rfilt_sma[24]_stddev,58
34,audSpec_Rfilt_sma[7]_stddev,59
102,pcm_fftMag_mfcc_sma[1]_stddev,60
232,pcm_fftMag_mfcc_sma_de[1]_stddev,61
210,pcm_fftMag_spectralRollOff75.0_sma_de_stddev,62
103,pcm_fftMag_mfcc_sma[1]_amean,63
54,audSpec_Rfilt_sma[17]_stddev,64
176,audSpec_Rfilt_sma_de[13]_stddev,65
49,audSpec_Rfilt_sma[14]_amean,66
48,audSpec_Rfilt_sma[14]_stddev,67
130,F0final_sma_de_stddev,68
140,logHNR_sma_de_stddev,69
55,audSpec_Rfilt_sma[17]_amean,70
2,voicingFinalUnclipped_sma_stddev,71
97,pcm_fftMag_spectralSlope_sma_amean,72
17,pcm_RMSenergy_sma_amean,73
164,audSpec_Rfilt_sma_de[7]_stddev,74
112,pcm_fftMag_mfcc_sma[6]_stddev,75
244,pcm_fftMag_mfcc_sma_de[7]_stddev,76
254,pcm_fftMag_mfcc_sma_de[12]_stddev,77
81,pcm_fftMag_spectralRollOff75.0_sma_amean,78
124,pcm_fftMag_mfcc_sma[12]_stddev,79
208,pcm_fftMag_spectralRollOff50.0_sma_de_stddev,80
178,audSpec_Rfilt_sma_de[14]_stddev,81
78,pcm_fftMag_spectralRollOff50.0_sma_stddev,82
0,F0final_sma_stddev,83
60,audSpec_Rfilt_sma[20]_stddev,84
88,pcm_fftMag_spectralEntropy_sma_stddev,85
218,pcm_fftMag_spectralEntropy_sma_de_stddev,86
189,audSpec_Rfilt_sma_de[19]_amean,87
197,audSpec_Rfilt_sma_de[23]_amean,88
57,audSpec_Rfilt_sma[18]_amean,89
79,pcm_fftMag_spectralRollOff50.0_sma_amean,90
76,pcm_fftMag_spectralRollOff25.0_sma_stddev,91
250,pcm_fftMag_mfcc_sma_de[10]_stddev,92
120,pcm_fftMag_mfcc_sma[10]_stddev,93
26,audSpec_Rfilt_sma[3]_stddev,94
224,pcm_fftMag_spectralKurtosis_sma_de_stddev,95
152,audSpec_Rfilt_sma_de[1]_stddev,96
177,audSpec_Rfilt_sma_de[13]_amean,97
179,audSpec_Rfilt_sma_de[14]_amean,98
58,audSpec_Rfilt_sma[19]_stddev,99
240,pcm_fftMag_mfcc_sma_de[5]_stddev,100
190,audSpec_Rfilt_sma_de[20]_stddev,101
129,pcm_fftMag_mfcc_sma[14]_amean,102
154,audSpec_Rfilt_sma_de[2]_stddev,103
153,audSpec_Rfilt_sma_de[1]_amean,104
