,feature,importance
142,audspec_lengthL1norm_sma_de_stddev,0.4495018605021875
218,pcm_fftMag_spectralEntropy_sma_de_stddev,0.221185310734294
103,pcm_fftMag_mfcc_sma[1]_amean,0.1290168466560761
13,audspec_lengthL1norm_sma_amean,0.08831271804426061
91,pcm_fftMag_spectralVariance_sma_amean,0.024570324144714103
214,pcm_fftMag_spectralFlux_sma_de_stddev,0.008922013619475968
256,pcm_fftMag_mfcc_sma_de[13]_stddev,0.008109016350674927
4,jitterLocal_sma_stddev,0.006997986963266381
8,shimmerLocal_sma_stddev,0.006650722415264928
220,pcm_fftMag_spectralVariance_sma_de_stddev,0.006392081037930536
152,audSpec_Rfilt_sma_de[1]_stddev,0.005288472793294098
85,pcm_fftMag_spectralFlux_sma_amean,0.004702064326271161
148,pcm_zcr_sma_de_stddev,0.002838305685141609
94,pcm_fftMag_spectralKurtosis_sma_stddev,0.002227008257895657
95,pcm_fftMag_spectralKurtosis_sma_amean,0.002135104916135853
204,pcm_fftMag_fband1000-4000_sma_de_stddev,0.0021233825394391956
150,audSpec_Rfilt_sma_de[0]_stddev,0.002105145487269044
3,voicingFinalUnclipped_sma_amean,0.0020004431424259653
228,pcm_fftMag_psySharpness_sma_de_stddev,0.001872475120103068
232,pcm_fftMag_mfcc_sma_de[1]_stddev,0.0018399837000527884
6,jitterDDP_sma_stddev,0.0015913391818166214
74,pcm_fftMag_fband1000-4000_sma_stddev,0.0014972214594606331
11,logHNR_sma_amean,0.0014439972046913364
258,pcm_fftMag_mfcc_sma_de[14]_stddev,0.0013478614864095646
100,pcm_fftMag_spectralHarmonicity_sma_stddev,0.00123234330737669
254,pcm_fftMag_mfcc_sma_de[12]_stddev,0.0011807294296339664
131,F0final_sma_de_amean,0.001041735719472767
196,audSpec_Rfilt_sma_de[23]_stddev,0.0009907206437791691
130,F0final_sma_de_stddev,0.000985427473211254
252,pcm_fftMag_mfcc_sma_de[11]_stddev,0.0009100803229415
250,pcm_fftMag_mfcc_sma_de[10]_stddev,0.0006612503225183978
238,pcm_fftMag_mfcc_sma_de[4]_stddev,0.0006538271944235925
140,logHNR_sma_de_stddev,0.0006505025955939419
246,pcm_fftMag_mfcc_sma_de[8]_stddev,0.000631005571248689
75,pcm_fftMag_fband1000-4000_sma_amean,0.0006006596594788837
200,audSpec_Rfilt_sma_de[25]_stddev,0.0005417663365546833
86,pcm_fftMag_spectralCentroid_sma_stddev,0.0005098365768408767
5,jitterLocal_sma_amean,0.0004608922926026347
202,pcm_fftMag_fband250-650_sma_de_stddev,0.0004018636724782473
224,pcm_fftMag_spectralKurtosis_sma_de_stddev,0.00039759590437768254
236,pcm_fftMag_mfcc_sma_de[3]_stddev,0.0003967139140149762
198,audSpec_Rfilt_sma_de[24]_stddev,0.0003604708183363489
101,pcm_fftMag_spectralHarmonicity_sma_amean,0.00032951127170079787
73,pcm_fftMag_fband250-650_sma_amean,0.00030801725786721445
234,pcm_fftMag_mfcc_sma_de[2]_stddev,0.00029546609664139213
123,pcm_fftMag_mfcc_sma[11]_amean,0.00028478966520325877
129,pcm_fftMag_mfcc_sma[14]_amean,0.00027798758313062175
97,pcm_fftMag_spectralSlope_sma_amean,0.0002636401125544625
210,pcm_fftMag_spectralRollOff75.0_sma_de_stddev,0.00025543697247209406
82,pcm_fftMag_spectralRollOff90.0_sma_stddev,0.0002542675515953003
192,audSpec_Rfilt_sma_de[21]_stddev,0.00025080113212264755
17,pcm_RMSenergy_sma_amean,0.00024308744825504337
102,pcm_fftMag_mfcc_sma[1]_stddev,0.00024301666129009832
80,pcm_fftMag_spectralRollOff75.0_sma_stddev,0.00023354390704277548
212,pcm_fftMag_spectralRollOff90.0_sma_de_stddev,0.00022881687833322694
18,pcm_zcr_sma_stddev,0.00022498190258282295
111,pcm_fftMag_mfcc_sma[5]_amean,0.0001988592514229331
63,audSpec_Rfilt_sma[21]_amean,0.0001907800670131616
110,pcm_fftMag_mfcc_sma[5]_stddev,0.0001904024649794249
77,pcm_fftMag_spectralRollOff25.0_sma_amean,0.00015474069648532278
112,pcm_fftMag_mfcc_sma[6]_stddev,0.00015372946894988095
248,pcm_fftMag_mfcc_sma_de[9]_stddev,0.00013901608692158565
182,audSpec_Rfilt_sma_de[16]_stddev,0.0
177,audSpec_Rfilt_sma_de[13]_amean,0.0
174,audSpec_Rfilt_sma_de[12]_stddev,0.0
176,audSpec_Rfilt_sma_de[13]_stddev,0.0
178,audSpec_Rfilt_sma_de[14]_stddev,0.0
175,audSpec_Rfilt_sma_de[12]_amean,0.0
179,audSpec_Rfilt_sma_de[14]_amean,0.0
180,audSpec_Rfilt_sma_de[15]_stddev,0.0
181,audSpec_Rfilt_sma_de[15]_amean,0.0
170,audSpec_Rfilt_sma_de[10]_stddev,0.0
173,audSpec_Rfilt_sma_de[11]_amean,0.0
160,audSpec_Rfilt_sma_de[5]_stddev,0.0
149,pcm_zcr_sma_de_amean,0.0
151,audSpec_Rfilt_sma_de[0]_amean,0.0
257,pcm_fftMag_mfcc_sma_de[13]_amean,0.0
255,pcm_fftMag_mfcc_sma_de[12]_amean,0.0
153,audSpec_Rfilt_sma_de[1]_amean,0.0
154,audSpec_Rfilt_sma_de[2]_stddev,0.0
155,audSpec_Rfilt_sma_de[2]_amean,0.0
156,audSpec_Rfilt_sma_de[3]_stddev,0.0
157,audSpec_Rfilt_sma_de[3]_amean,0.0
158,audSpec_Rfilt_sma_de[4]_stddev,0.0
159,audSpec_Rfilt_sma_de[4]_amean,0.0
253,pcm_fftMag_mfcc_sma_de[11]_amean,0.0
172,audSpec_Rfilt_sma_de[11]_stddev,0.0
161,audSpec_Rfilt_sma_de[5]_amean,0.0
162,audSpec_Rfilt_sma_de[6]_stddev,0.0
163,audSpec_Rfilt_sma_de[6]_amean,0.0
164,audSpec_Rfilt_sma_de[7]_stddev,0.0
165,audSpec_Rfilt_sma_de[7]_amean,0.0
166,audSpec_Rfilt_sma_de[8]_stddev,0.0
167,audSpec_Rfilt_sma_de[8]_amean,0.0
168,audSpec_Rfilt_sma_de[9]_stddev,0.0
169,audSpec_Rfilt_sma_de[9]_amean,0.0
183,audSpec_Rfilt_sma_de[16]_amean,0.0
171,audSpec_Rfilt_sma_de[10]_amean,0.0
251,pcm_fftMag_mfcc_sma_de[10]_amean,0.0
240,pcm_fftMag_mfcc_sma_de[5]_stddev,0.0
184,audSpec_Rfilt_sma_de[17]_stddev,0.0
225,pcm_fftMag_spectralKurtosis_sma_de_amean,0.0
215,pcm_fftMag_spectralFlux_sma_de_amean,0.0
216,pcm_fftMag_spectralCentroid_sma_de_stddev,0.0
217,pcm_fftMag_spectralCentroid_sma_de_amean,0.0
244,pcm_fftMag_mfcc_sma_de[7]_stddev,0.0
219,pcm_fftMag_spectralEntropy_sma_de_amean,0.0
243,pcm_fftMag_mfcc_sma_de[6]_amean,0.0
221,pcm_fftMag_spectralVariance_sma_de_amean,0.0
222,pcm_fftMag_spectralSkewness_sma_de_stddev,0.0
223,pcm_fftMag_spectralSkewness_sma_de_amean,0.0
226,pcm_fftMag_spectralSlope_sma_de_stddev,0.0
213,pcm_fftMag_spectralRollOff90.0_sma_de_amean,0.0
227,pcm_fftMag_spectralSlope_sma_de_amean,0.0
242,pcm_fftMag_mfcc_sma_de[6]_stddev,0.0
229,pcm_fftMag_psySharpness_sma_de_amean,0.0
230,pcm_fftMag_spectralHarmonicity_sma_de_stddev,0.0
231,pcm_fftMag_spectralHarmonicity_sma_de_amean,0.0
241,pcm_fftMag_mfcc_sma_de[5]_amean,0.0
233,pcm_fftMag_mfcc_sma_de[1]_amean,0.0
235,pcm_fftMag_mfcc_sma_de[2]_amean,0.0
237,pcm_fftMag_mfcc_sma_de[3]_amean,0.0
245,pcm_fftMag_mfcc_sma_de[7]_amean,0.0
211,pcm_fftMag_spectralRollOff75.0_sma_de_amean,0.0
185,audSpec_Rfilt_sma_de[17]_amean,0.0
195,audSpec_Rfilt_sma_de[22]_amean,0.0
186,audSpec_Rfilt_sma_de[18]_stddev,0.0
187,audSpec_Rfilt_sma_de[18]_amean,0.0
188,audSpec_Rfilt_sma_de[19]_stddev,0.0
189,audSpec_Rfilt_sma_de[19]_amean,0.0
239,pcm_fftMag_mfcc_sma_de[4]_amean,0.0
191,audSpec_Rfilt_sma_de[20]_amean,0.0
249,pcm_fftMag_mfcc_sma_de[9]_amean,0.0
193,audSpec_Rfilt_sma_de[21]_amean,0.0
194,audSpec_Rfilt_sma_de[22]_stddev,0.0
197,audSpec_Rfilt_sma_de[23]_amean,0.0
209,pcm_fftMag_spectralRollOff50.0_sma_de_amean,0.0
247,pcm_fftMag_mfcc_sma_de[8]_amean,0.0
147,pcm_RMSenergy_sma_de_amean,0.0
199,audSpec_Rfilt_sma_de[24]_amean,0.0
201,audSpec_Rfilt_sma_de[25]_amean,0.0
203,pcm_fftMag_fband250-650_sma_de_amean,0.0
205,pcm_fftMag_fband1000-4000_sma_de_amean,0.0
206,pcm_fftMag_spectralRollOff25.0_sma_de_stddev,0.0
207,pcm_fftMag_spectralRollOff25.0_sma_de_amean,0.0
208,pcm_fftMag_spectralRollOff50.0_sma_de_stddev,0.0
190,audSpec_Rfilt_sma_de[20]_stddev,0.0
0,F0final_sma_stddev,0.0
146,pcm_RMSenergy_sma_de_stddev,0.0
145,audspecRasta_lengthL1norm_sma_de_amean,0.0
39,audSpec_Rfilt_sma[9]_amean,0.0
40,audSpec_Rfilt_sma[10]_stddev,0.0
41,audSpec_Rfilt_sma[10]_amean,0.0
42,audSpec_Rfilt_sma[11]_stddev,0.0
43,audSpec_Rfilt_sma[11]_amean,0.0
44,audSpec_Rfilt_sma[12]_stddev,0.0
45,audSpec_Rfilt_sma[12]_amean,0.0
46,audSpec_Rfilt_sma[13]_stddev,0.0
47,audSpec_Rfilt_sma[13]_amean,0.0
48,audSpec_Rfilt_sma[14]_stddev,0.0
49,audSpec_Rfilt_sma[14]_amean,0.0
50,audSpec_Rfilt_sma[15]_stddev,0.0
51,audSpec_Rfilt_sma[15]_amean,0.0
52,audSpec_Rfilt_sma[16]_stddev,0.0
53,audSpec_Rfilt_sma[16]_amean,0.0
54,audSpec_Rfilt_sma[17]_stddev,0.0
55,audSpec_Rfilt_sma[17]_amean,0.0
56,audSpec_Rfilt_sma[18]_stddev,0.0
57,audSpec_Rfilt_sma[18]_amean,0.0
58,audSpec_Rfilt_sma[19]_stddev,0.0
59,audSpec_Rfilt_sma[19]_amean,0.0
60,audSpec_Rfilt_sma[20]_stddev,0.0
61,audSpec_Rfilt_sma[20]_amean,0.0
62,audSpec_Rfilt_sma[21]_stddev,0.0
64,audSpec_Rfilt_sma[22]_stddev,0.0
38,audSpec_Rfilt_sma[9]_stddev,0.0
37,audSpec_Rfilt_sma[8]_amean,0.0
36,audSpec_Rfilt_sma[8]_stddev,0.0
22,audSpec_Rfilt_sma[1]_stddev,0.0
2,voicingFinalUnclipped_sma_stddev,0.0
7,jitterDDP_sma_amean,0.0
9,shimmerLocal_sma_amean,0.0
10,logHNR_sma_stddev,0.0
12,audspec_lengthL1norm_sma_stddev,0.0
14,audspecRasta_lengthL1norm_sma_stddev,0.0
