,n_of_feature,score
0,0,0.036179631
1,1,0.081572628
2,2,0.078325029
3,3,0.071605598
4,4,0.087875504
5,5,0.094442784
6,6,0.095602278
7,7,0.101473157
8,8,0.136205916
9,9,0.145241462
10,10,0.163340704
11,11,0.176022391
12,12,0.185468872
13,13,0.200253792
14,14,0.214148091
15,15,0.218068763
16,16,0.219824501
17,17,0.220389264
18,18,0.217455624
19,19,0.211472311
20,20,0.213817842
21,21,0.224077671
22,22,0.222979771
23,23,0.227142676
24,24,0.223082604
25,25,0.229115989
26,26,0.229432042
27,27,0.232799262
28,28,0.228182547
29,29,0.229994091
30,30,0.22127676
31,31,0.223392055
32,32,0.239544725
33,33,0.253445019
34,34,0.25201505
35,35,0.256791312
36,36,0.249944685
37,37,0.260105668
38,38,0.261214064
39,39,0.265593437
40,40,0.267368565
41,41,0.271269297
42,42,0.271452615
43,43,0.273162349
44,44,0.271943494
45,45,0.270844462
46,46,0.27447115
47,47,0.273393054
48,48,0.269239502
49,49,0.270258022
50,50,0.252587128
51,51,0.260641619
52,52,0.244726209
53,53,0.249430241
54,54,0.251922549
55,55,0.251535339
56,56,0.246613932
57,57,0.259898562
58,58,0.253174155
59,59,0.259836894
60,60,0.256063043
61,61,0.232774952
62,62,0.260401338
63,63,0.247302453
64,64,0.238249836
65,65,0.240557579
66,66,0.230042519
67,67,0.230449432
68,68,0.24653622
69,69,0.252295412
70,70,0.259288311
71,71,0.256151396
72,72,0.253737548
73,73,0.257919308
74,74,0.272576687
75,75,0.262556901
76,76,0.268313949
77,77,0.255559474
78,78,0.246735202
79,79,0.242038798
80,80,0.199882581
81,81,0.200493929
82,82,0.200580462
83,83,0.19969975
84,84,0.186783644
85,85,0.180196176
86,86,0.178342774
87,87,0.244911127
88,88,0.241131653
89,89,0.23145014
90,90,0.23944805
91,91,0.237265567
92,92,0.240368986
93,93,0.239646819
94,94,0.251495838
95,95,0.248230749
96,96,0.270076545
97,97,0.267999001
98,98,0.253626951
99,99,0.252335016
100,100,0.255434712
101,101,0.253721354
102,102,0.247897772
103,103,0.244629649
104,104,0.229463536
105,105,0.235802338
106,106,0.234395327
107,107,0.272316965
108,108,0.276403477
109,109,0.268856397
110,110,0.275370506
111,111,0.277004494
112,112,0.288910677
113,113,0.28413936
114,114,0.290297244
115,115,0.284513982
116,116,0.288066953
117,117,0.270555379
118,118,0.271003302
119,119,0.278481733
120,120,0.275163409
121,121,0.275890779
122,122,0.273433085
123,123,0.269524831
124,124,0.267161096
125,125,0.267186233
126,126,0.26709777
127,127,0.266460411
128,128,0.264997063
129,129,0.268057029
130,130,0.266570897
131,131,0.268799766
132,132,0.276185417
133,133,0.273973692
134,134,0.271692203
135,135,0.271047836
136,136,0.268206485
137,137,0.268087917
138,138,0.266330792
139,139,0.263308756
140,140,0.263127927
141,141,0.264576015
142,142,0.264821794
143,143,0.250343502
144,144,0.250919095
145,145,0.250278041
146,146,0.263586908
147,147,0.264114289
148,148,0.265496895
149,149,0.222065604
150,150,0.214907367
151,151,0.221264042
152,152,0.235032428
153,153,0.234600761
154,154,0.239069668
155,155,0.221592492
156,156,0.22428287
157,157,0.218508041
158,158,0.236186696
159,159,0.235400927
160,160,0.227626075
161,161,0.214109491
162,162,0.225338802
163,163,0.230885271
164,164,0.230488866
165,165,0.236486652
166,166,0.2159285
167,167,0.210274439
168,168,0.215402098
169,169,0.200414631
170,170,0.199574335
171,171,0.191441798
172,172,0.189309165
173,173,0.241436061
174,174,0.241400492
175,175,0.236851588
176,176,0.229735261
177,177,0.226518576
178,178,0.234709284
179,179,0.229237686
180,180,0.216920494
181,181,0.217225866
182,182,0.207114119
183,183,0.206686487
184,184,0.200458167
185,185,0.192615695
186,186,0.182343498
187,187,0.186414048
188,188,0.195727288
189,189,0.186583689
190,190,0.182327761
191,191,0.177896073
192,192,0.172129447
193,193,0.17564458
194,194,0.176792044
195,195,0.174477215
196,196,0.175318488
197,197,0.168732038
198,198,0.160687613
199,199,0.166961862
200,200,0.167214274
201,201,0.158722811
202,202,0.149741204
203,203,0.11603064
204,204,0.120495899
205,205,0.116273012
206,206,0.117359895
207,207,0.120860433
208,208,0.094188365
209,209,0.090052122
210,210,0.081198017
211,211,0.093758991
212,212,0.087545215
213,213,0.098259646
214,214,0.103534904
215,215,0.091539689
216,216,0.100620724
217,217,0.098307315
218,218,0.093123445
219,219,0.080823619
220,220,0.081659822
221,221,0.080664818
222,222,0.087638674
223,223,0.094648173
224,224,0.074721367
225,225,0.072226828
226,226,0.07565675
227,227,0.071086546
228,228,0.071292648
229,229,0.088376286
230,230,0.085264784
231,231,0.08895261
232,232,0.085737195
233,233,0.094000123
234,234,0.096612646
235,235,0.092271377
236,236,0.093165668
237,237,0.097412301
238,238,0.095785218
239,239,0.09531788
240,240,0.100686811
241,241,0.097406198
242,242,0.109687984
243,243,0.11610052
244,244,0.109287334
245,245,0.107251671
246,246,0.108921147
247,247,0.098671056
248,248,0.104657423
249,249,0.08975392
250,250,0.092330502
251,251,0.093778161
252,252,0.092932978
253,253,0.100332477
254,254,0.09824529
255,255,0.096191474
256,256,0.098362456
257,257,0.105458688
258,258,0.099360658
259,259,0.104029896
