,n_of_feature,score
0,0,-0.0030770055637691527
1,1,0.2782688776276441
2,2,0.4349710655718252
3,3,0.4711633817465953
4,4,0.4893355923961506
5,5,0.5336120502925193
6,6,0.5310804940535018
7,7,0.5340042681118984
8,8,0.5387887998057074
9,9,0.5384427000925985
10,10,0.5374036471114547
11,11,0.5395866950562851
12,12,0.5368457466705692
13,13,0.5479703807457308
14,14,0.5472563589187361
15,15,0.5496314724920257
16,16,0.5577566610141071
17,17,0.5515312971075899
18,18,0.5600951404837261
19,19,0.5567895223585753
20,20,0.5574210330148575
21,21,0.5561962956077668
22,22,0.5530175131702242
23,23,0.5559361188428749
24,24,0.5558706529804344
25,25,0.5606856080500316
26,26,0.5548476870365995
27,27,0.5561623584096264
28,28,0.5574216150832327
29,29,0.5656044305879492
30,30,0.5587851246725759
31,31,0.5592227108055813
32,32,0.5613102157937209
33,33,0.5632222172650037
34,34,0.5646611744523065
35,35,0.5624456290787478
36,36,0.5608018285261946
37,37,0.5681755808815996
38,38,0.5642233973894062
39,39,0.5671569929584966
40,40,0.5644013099774172
41,41,0.5631106172222367
42,42,0.562260718308802
43,43,0.5641359282769761
44,44,0.5651674469077884
45,45,0.5621489528402697
46,46,0.5625438056556046
47,47,0.5625359855224179
48,48,0.5636649972966681
49,49,0.5611372235105667
50,50,0.5668459561753545
51,51,0.5679358521691776
52,52,0.5636510292894682
53,53,0.5647600897723516
54,54,0.563153136481706
55,55,0.56370575001352
56,56,0.561294459254648
57,57,0.5646715609630604
58,58,0.5622547579490174
59,59,0.5627747248244562
60,60,0.5623412868450208
61,61,0.5627527919068973
62,62,0.5613941839851768
63,63,0.5635684365082682
64,64,0.5618945859761784
65,65,0.5611650820002985
66,66,0.5614381419711755
67,67,0.5583916377997719
68,68,0.5604886848727677
69,69,0.5590454591545264
70,70,0.5638866292651221
71,71,0.5647133961786444
72,72,0.5608761980156787
73,73,0.5590444369103993
74,74,0.5598616952273643
75,75,0.5614559702034965
76,76,0.5593809469010171
77,77,0.5597540824812179
78,78,0.5664804521797323
79,79,0.556546551347635
80,80,0.5609160983135774
81,81,0.5652335730228037
82,82,0.5597735842649277
83,83,0.5625086714177445
84,84,0.5616201925669179
85,85,0.5673695966803897
86,86,0.5611703439562031
87,87,0.5579689686418572
88,88,0.5581316145936406
89,89,0.56041115972112
90,90,0.5616617857656813
91,91,0.558001043917941
92,92,0.5575280088285363
93,93,0.5587691685765112
94,94,0.5611859321049921
95,95,0.5584408985189107
96,96,0.5607079341642051
97,97,0.562637563527698
98,98,0.5614470764468272
99,99,0.5644136819189217
100,100,0.5620245483754615
101,101,0.5649735289012856
102,102,0.5672146702165024
103,103,0.5615261360710406
104,104,0.5624747056107651
105,105,0.5578381034568791
106,106,0.5607496895045213
107,107,0.5605685387092587
108,108,0.5576858460856531
109,109,0.5611690521327061
110,110,0.5614762953221007
111,111,0.5609466666407975
112,112,0.5616551296033074
113,113,0.5609886473678934
114,114,0.5626886348794886
115,115,0.5627008624606247
116,116,0.5599708968805066
117,117,0.5612895626070589
118,118,0.5597345904627964
119,119,0.5600593957598777
120,120,0.5574390552664006
121,121,0.5600906170963544
122,122,0.5595574446575874
123,123,0.5637339072457793
124,124,0.5588474886766915
125,125,0.5628790702431955
126,126,0.5662118122207713
127,127,0.5632697385281122
128,128,0.5579951998679193
129,129,0.5628888521148737
130,130,0.5594878066345644
131,131,0.561020855929192
132,132,0.559087501755234
133,133,0.5644719249996283
134,134,0.5597711833535788
135,135,0.5583184934565658
136,136,0.561843089278723
137,137,0.5595015193381391
138,138,0.5603585382089321
139,139,0.5609554305415575
140,140,0.5640721875178775
141,141,0.5651345882940335
142,142,0.5593714324076853
