,n_of_feature,score
0,0,-0.1269093044779193
1,1,-0.03533764446332207
2,2,-0.1902850903862562
3,3,-0.12136436995097148
4,4,0.198394814537809
5,5,0.26417878547051876
6,6,0.27990288620311565
7,7,0.3250748284704924
8,8,0.3650370931288503
9,9,0.38624378814227533
10,10,0.35629398560753656
11,11,0.3988450058200665
12,12,0.4101759051586882
13,13,0.40678327625312455
14,14,0.41837662395691655
15,15,0.42086285580703997
16,16,0.44774195138856665
17,17,0.4490032368588569
18,18,0.4538671903096237
19,19,0.44673941184136956
20,20,0.4516829712254287
21,21,0.4469167093912724
22,22,0.44816218915689143
23,23,0.41287125689683507
24,24,0.40520311161594036
25,25,0.41533254368015593
26,26,0.4559430641814927
27,27,0.474112615373138
28,28,0.4704558227425764
29,29,0.4782504300812798
30,30,0.48092359910005883
31,31,0.4781143068771051
32,32,0.4801170875057542
33,33,0.4772322948826898
34,34,0.4737219755345269
35,35,0.4773071493839581
36,36,0.47855502475969713
37,37,0.47168006121350425
38,38,0.4791872690706936
39,39,0.4847889062995915
40,40,0.48370824384176175
41,41,0.4961770281140866
42,42,0.48162933647034095
43,43,0.4790411357388765
44,44,0.4778999640408772
45,45,0.4596558840698687
46,46,0.4705560100531715
47,47,0.44911273524090217
48,48,0.475028498142951
49,49,0.4771153536889237
50,50,0.47852676483418505
51,51,0.4941145316371539
52,52,0.49004897616684523
53,53,0.5048958635266987
54,54,0.5114677490187471
55,55,0.5118245193374709
56,56,0.5146994758295177
57,57,0.5175530417812576
58,58,0.5187743474568928
59,59,0.5170414818450668
60,60,0.5089258108046579
61,61,0.5130096836577491
62,62,0.5109360869237637
63,63,0.5207008157880296
64,64,0.5199805682303528
65,65,0.524768798000631
66,66,0.530402684741591
67,67,0.5299903699036376
68,68,0.5247934861047318
69,69,0.5226520723238854
70,70,0.5148422036473214
71,71,0.52468163578013
72,72,0.5270391086691022
73,73,0.531138668280702
74,74,0.5221418878908463
75,75,0.5133271877557288
76,76,0.5226831992450751
77,77,0.5230586338314201
78,78,0.5262973557211514
79,79,0.5261490152165678
80,80,0.5245472048399751
81,81,0.5248233566907554
82,82,0.5299440853447448
83,83,0.52670051637178
84,84,0.5268478987046682
85,85,0.5226922076992928
86,86,0.5208154736756703
87,87,0.5123338571676191
88,88,0.5074888270882036
89,89,0.5091462135436449
90,90,0.5141598500192774
91,91,0.5167984562591026
92,92,0.5152422198189069
93,93,0.5159749113534288
94,94,0.510097709821823
95,95,0.5015387490610348
96,96,0.4989013487094887
97,97,0.4992814533680291
98,98,0.48989860841374566
99,99,0.48792128837994075
100,100,0.4928993272735161
101,101,0.48959314191804476
102,102,0.49034942992319996
103,103,0.4891856970119747
104,104,0.4901057798736808
105,105,0.48117704185609506
106,106,0.4814819355235237
107,107,0.49099476342118226
108,108,0.48740622836586117
109,109,0.4924531898281109
110,110,0.4915583722114569
111,111,0.4926667490224633
112,112,0.49234618079017045
113,113,0.49090349317855536
114,114,0.49402047436373814
115,115,0.4970409467685538
116,116,0.49391720304364667
117,117,0.4935153519013902
118,118,0.49548868016540804
119,119,0.4811916000666138
120,120,0.49262834502013025
121,121,0.4944503004952316
122,122,0.4846889468463348
123,123,0.48865064168109196
124,124,0.48614754349101624
125,125,0.4852259470136765
126,126,0.4839612165258349
127,127,0.4936589364384922
128,128,0.4922791832974676
129,129,0.48829680851184465
130,130,0.4777997572834532
131,131,0.48408382386741494
132,132,0.4805830317918297
133,133,0.4848252022503434
134,134,0.48975190559029186
135,135,0.4904392770495017
136,136,0.48737534824415585
